"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"20","Royal Challengers Bengaluru","PD Salt","c Pandya b Thakur","78","36","61","6","6","216.66"
"20","Royal Challengers Bengaluru","V Kohli","c Yadav b Pandya","50","38","85","5","1","131.57"
"20","Royal Challengers Bengaluru","RM Patidar (c)","c Tilak Varma b Santner","53","20","33","4","5","265"
"20","Royal Challengers Bengaluru","TH David","not out","34","16","36","2","3","212.5"
"20","Royal Challengers Bengaluru","JM Sharma †","lbw b Boult","10","9","23","1","0","111.11"
"20","Royal Challengers Bengaluru","R Shepherd","not out","2","2","3","0","0","100"
"20","Mumbai Indians","RD Rickelton †","c Kumar b Suyash Sharma","37","22","38","3","3","168.18"
"20","Mumbai Indians","RG Sharma","retired hurt","19","13","29","2","1","146.15"
"20","Mumbai Indians","SA Yadav","c Rasikh Salam b Pandya","33","22","38","5","0","150"
"20","Mumbai Indians","NT Tilak Varma","c Duffy b Suyash Sharma","1","3","3","0","0","33.33"
"20","Mumbai Indians","HH Pandya (c)","c Shepherd b Duffy","40","22","38","6","1","181.81"
"20","Mumbai Indians","SE Rutherford","not out","71","31","54","1","9","229.03"
"20","Mumbai Indians","Naman Dhir","c Patidar b Rasikh Salam","1","2","12","0","0","50"
"20","Mumbai Indians","MJ Santner","not out","8","6","30","1","0","133.33"
"21","Sunrisers Hyderabad","Abhishek Sharma","c Ravi Bishnoi b Archer","0","1","1","0","0","0"
"21","Sunrisers Hyderabad","TM Head","c Ferreira b Parag","18","18","32","3","0","100"
"21","Sunrisers Hyderabad","Ishan Kishan (c)","c & b Sandeep Sharma","91","44","67","8","6","206.81"
"21","Sunrisers Hyderabad","H Klaasen","c Parag b Deshpande","40","26","51","1","3","153.84"
"21","Sunrisers Hyderabad","K Nitish Kumar Reddy","c †Jurel b Archer","28","13","29","0","4","215.38"
"21","Sunrisers Hyderabad","S Arora †","not out","24","13","25","2","2","184.61"
"21","Sunrisers Hyderabad","AU Verma","run out (†Jurel/Deshpande)","6","5","8","1","0","120"
"21","Sunrisers Hyderabad","HS Dubey","not out","0","0","3","0","0","-"
"21","Rajasthan Royals","YBK Jaiswal","c Nitish Kumar Reddy b Sakib Hussain","1","5","10","0","0","20"
"21","Rajasthan Royals","V Sooryavanshi","c †Arora b Hinge","0","1","2","0","0","0"
"21","Rajasthan Royals","DC Jurel †","b Hinge","0","2","2","0","0","0"
"21","Rajasthan Royals","LG Pretorius","c Nitish Kumar Reddy b Hinge","0","2","2","0","0","0"
"21","Rajasthan Royals","R Parag (c)","c Abhishek Sharma b Hinge","4","6","10","1","0","66.66"
"21","Rajasthan Royals","RA Jadeja","c †Arora b Malinga","45","32","74","5","0","140.62"
"21","Rajasthan Royals","D Ferreira","b Sakib Hussain","69","44","61","7","3","156.81"
"21","Rajasthan Royals","JC Archer","c Hinge b Sakib Hussain","2","5","10","0","0","40"
"21","Rajasthan Royals","TU Deshpande","c Ishan Kishan b Malinga","25","11","17","0","3","227.27"
"21","Rajasthan Royals","Ravi Bishnoi","c Ishan Kishan b Sakib Hussain","0","1","1","0","0","0"
"21","Rajasthan Royals","N Burger","not out","3","5","9","0","0","60"
"22","Chennai Super Kings","SV Samson †","b Kartik Tyagi","48","32","55","4","3","150"
"22","Chennai Super Kings","RD Gaikwad (c)","c Powell b Roy","7","6","12","1","0","116.66"
"22","Chennai Super Kings","A Mhatre","c Ramandeep Singh b Arora","38","17","16","6","2","223.52"
