"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"50","Lucknow Super Giants","R Shepherd","1","0","16","0","16","2","2","1","0","0"
"50","Royal Challengers Bengaluru","Mohammed Shami","4","0","33","1","8.25","13","3","2","3","0"
"50","Royal Challengers Bengaluru","Prince Yadav","4","0","33","3","8.25","8","2","2","0","0"
"50","Royal Challengers Bengaluru","MP Yadav","4","0","50","0","12.5","8","2","5","1","0"
"50","Royal Challengers Bengaluru","DS Rathi","4","0","50","0","12.5","4","4","3","1","0"
"50","Royal Challengers Bengaluru","Shahbaz Ahmed","3","0","33","2","11","8","5","1","3","0"
"51","Delhi Capitals","AS Roy","4","0","31","2","7.75","10","3","1","2","0"
"51","Delhi Capitals","VG Arora","3","0","29","1","9.66","5","2","2","0","0"
"51","Delhi Capitals","SP Narine","4","0","17","1","4.25","14","2","0","0","0"
"51","Delhi Capitals","Kartik Tyagi","4","0","25","2","6.25","10","2","1","0","0"
"51","Delhi Capitals","CV Varun","4","0","28","0","7","10","3","1","0","0"
"51","Delhi Capitals","C Green","1","0","12","1","12","2","1","1","0","0"
"51","Kolkata Knight Riders","MA Starc","3","0","31","0","10.33","5","2","2","0","0"
"51","Kolkata Knight Riders","AR Patel","4","0","27","1","6.75","9","2","1","0","0"
"51","Kolkata Knight Riders","L Ngidi","2","0","7","0","3.5","5","0","0","0","0"
"51","Kolkata Knight Riders","V Nigam","2","0","34","0","17","1","1","4","0","0"
"51","Kolkata Knight Riders","Kuldeep Yadav","3","0","41","0","13.66","6","1","5","0","0"
"51","Kolkata Knight Riders","Mukesh Kumar","0.2","0","7","0","21","0","0","1","0","0"
"52","Gujarat Titans","JC Archer","3","0","46","0","15.33","4","3","2","5","1"
"52","Gujarat Titans","TU Deshpande","4","0","52","0","13","7","4","4","3","0"
"52","Gujarat Titans","Brijesh Sharma","4","0","47","2","11.75","10","5","3","2","0"
"52","Gujarat Titans","Yash Raj Punja","4","0","37","1","9.25","6","3","1","2","0"
"52","Gujarat Titans","RA Jadeja","4","0","34","1","8.5","5","2","1","0","0"
"52","Gujarat Titans","D Ferreira","1","0","11","0","11","1","2","0","0","0"
